Current Ver
1.0.0
2.0.0
1.2.4
Varies with device
1.1
1
1.1
6.1.61.1
2.9.2
2.8
1.0.4
1.0.15
3.8
1.0.4
1.2.3
NaN
3.1
1
2.2.5
5.5.4
4
1.1
2.2.6.2
1.0.0
1.1.3
1.5
1.0.8
1.03
6
1
6.7.12.2018
1.2
2.2
1.1.0
1.6
2.1
1.0.9
Varies with device
1.3
1
2.0.1
1
Varies with device
1.46
1.0.0
1.6.1
1.6
2.0.0
1
1
11
3
Varies with device
3
4
1.7.1
2.5.1
3
1.0.1
2.493
1.9.1
1.7
2.20 Build 02
1.37
1.7
0.2.1
1
Varies with device
Varies with device
4.47.3
1.9.7
2.2.21
Varies with device
2.9
1.79
1.3
2.3.5.1
1.6
1.6
8.31
1.1.5.0
10.0.2
1.10.3
1
3.20.1
Varies with device
1.0.3
1.4
Varies with device
4.6.5
2.8.2
4.0.3
Varies with device
1.4
1.5.18
2.3.4
1.03
2.17
6.10.1
2.3.0
4
1.0.6
Varies with device
1.6
1.9
1.1.0
4
5.4
1.3
Varies with device
2.0.0
6
3.0.1
8
3.3.9
1.2
2.3.09
Varies with device
Varies with device
1.4.2
1.0.0
1
18.5
1.3
1.1.0
1.1.0
1.15
1.5
1
2
2
1.1
1.2.13
1.0.2.0
3
3.1.89
2.2.0
1
1.9.2
Varies with device
1.3.2
1.1
Varies with device
Varies with device
Varies with device
Varies with device
Varies with device
2.1
3.2.1
Varies with device
1
2.0.075
Varies with device
1.91180527
1
9.1.363
1.1.6
Varies with device
2.3.18
2.2.5
15
18
Varies with device
1
5.0.6
1.2.3
3.12
2
1.28
6.0.8
1.0.3
1.9
Varies with device
9.00.950462
14
6
3.05
2
1.5
Varies with device
3
2.5.3
7.0.4.6
1.15
3.1.7.9
1.1
3.9.1
Varies with device
Varies with device
Varies with device
3.4.2
Varies with device
Varies with device
2.19.0.204537701
9.7.14188
4.9.10
5.2.8
3.3
3.550.2
4.6.30
2.8
Varies with device
Varies with device
Varies with device
Varies with device
7.3.21
1.1.13
Varies with device
Varies with device
3
5.1.5
Varies with device
2.3.6
4.1
Varies with device
99.0.0.35.75
12.2.4
1.0.6.8
3.4.5
2.5.6
1.12.5
1.5
Varies with device
4.9
0.9.4
1.1.07.6
Varies with device
1.0.5
Varies with device
Varies with device
Varies with device
1.2.6
3.9.2
3.4.49
1.5.2
3.4.6
Varies with device
3.2.1
1.12.0
2.19.0.204537701
Varies with device
1.7.14
3.24.1
18.7
3.19.005
Varies with device
4.9.1
6.1.2
6.4.4
3.7.5
2.6.158
5.20.7
5.20.7
4.3.0.508
10.46.2
11.1.0
4.1.28165.0716
1.2.287
3.0.4651
Varies with device
3.1.4.0
4.3.0.508
3.3.0
2.22.397
Varies with device
Varies with device
3.2.1
1.12.0
2.19.0.204537701
Varies with device
1.7.14
3.24.1
18.7
3.19.005
Varies with device
4.9.1
6.1.2
6.4.4
3.7.5
2.6.158
5.20.7
5.20.7
